Compound ID,InChIKey,SMILES,S(M),logS,MW
CN_S002_C039,UIPFGSREAXTDLL-UHFFFAOYSA-N,CN1CCCN(CC1)C1=NC=C(C=N1)C1=CC2=NC=CC(NC3=NC(C)=CN=C3)=C2C=C1,1.00E-03,-3.00000,426.528
CN_S002_C040,HHRKMPBRFFSYNB-UHFFFAOYSA-N,CN(C1=NC=CN=C1)C1=C2C=CC(=CC2=NC=C1)C1=CN=C(N=C1)N1CCCN(C)CC1,8.10E-04,-3.09151,426.528
CN_S002_C041,LFNQOALWYMCTGA-XHLNEMQHSA-N,CN1C=C\C(=N/C2=NC=CN=C2)C2=CC=C(C=C12)C1=CN=C(N=C1)N1CCCN(C)CC1,8.80E-04,-3.05552,426.528
CN_S002_C042,NAYBRZMXYYJRHN-JBASAIQMSA-N,CCN1C=C\C(=N/C2=NC=CN=C2)C2=CC=C(C=C12)C1=CN=C(N=C1)N1CCCN(C)CC1,1.00E-03,-3.00000,440.555
CN_S002_C043,ANIPNOILNIRDHV-UQRQXUALSA-N,CCCN1C=C\C(=N/C2=NC=CN=C2)C2=CC=C(C=C12)C1=CN=C(N=C1)N1CCCN(C)CC1,8.90E-04,-3.05061,454.582
CN_S003_C001,PAPJMRCXQLSVQT-UHFFFAOYNA-N,CCCN1N=C(C(=O)N(C)C)C2=C1CCC(C2)NCC1=CC=C(F)C=C1,1.78E-03,-2.74885,358.461
CN_S003_C002,FXMHGHVZVVCMKY-UHFFFAOYNA-N,CCCN1N=C(C(=O)C2CCCCC2)C2=C1CCC(C2)NCC1=CC=C(C=C1)N1CCCCC1,4.63E-04,-3.33442,462.682
CN_S003_C003,MAQVIKCMKOGTBV-UHFFFAOYNA-N,CCCN1N=C(C(=O)N2CCCCC2)C2=C1CCC(C2)N1CCC2=C(C1)C=CC=C2,7.13E-04,-3.14691,406.574
CN_S003_C004,AZWZECQAMQZFRC-UHFFFAOYNA-N,CCCN1N=C(C(=O)N2CCCCC2)C2=C1CCC(C2)N(C)CC1=CC=C(F)C=C1,2.42E-03,-2.61565,412.553
CN_S003_C005,AUUQFKJIKSJCNN-UHFFFAOYNA-N,CCCN1N=C(C(=O)N2CCCCC2)C2=C1CCC(C2)NCCN1CCCCC1,1.74E-03,-2.75870,401.599
CN_S004_C001,VVOAZFWZEDHOOU-UHFFFAOYSA-N,OC1=CC=C(CC=C)C=C1C1=C(O)C=CC(CC=C)=C1,2.25E-04,-3.64724,266.34
CN_S005_C001,VWRUXPPOJHWAFD-CVKSISIWSA-N,CCN1C=C(C(=O)NCCOC)C(=O)C2=C1C=CC(=C2)C(\C)=N\NC(=O)C1=CC=NC=C1,9.50E-05,-4.02228,435.484

